Open time,Open,High,Low,Close,Volume,Close time
1575100800000,154.65,154.80,153.92,153.99,17494.352,1575104399999
1575104400000,154,154.12,152.82,153.46,19099.159,1575107999999
1575108000000,153.46,154.58,152.56,153.74,18712.718,1575111599999
1575111600000,153.67,153.67,152.54,152.68,17731.417,1575115199999
1575115200000,152.66,153.51,152.38,153.14,14267.815,1575118799999
1575118800000,153.14,153.34,152.26,152.47,16310.942,1575122399999
1575122400000,152.47,152.72,150.38,151.55,19621.542,1575125999999
1575126000000,151.55,152.22,150.66,151.46,16222.449,1575129599999
1575129600000,151.46,152.49,150.75,152.13,17816.586,1575133199999
1575133200000,152.11,152.12,149.73,150.66,15873.168,1575136799999
1575136800000,150.66,151.18,149.66,150.13,17076.701,1575140399999
1575140400000,150.14,151.23,150.14,150.50,18495.474,1575143999999
1575144000000,150.50,150.96,150.08,150.82,13138.180,1575147599999
1575147600000,150.80,151.74,150.65,151.73,14925.668,1575151199999
1575151200000,151.71,152.15,151.22,151.37,15539.883,1575154799999
1575154800000,151.35,152.14,151.34,151.38,16816.989,1575158399999
1575158400000,151.38,151.38,150.09,150.60,16927.583,1575161999999
1575162000000,150.61,150.64,147.42,148.25,18229.305,1575165599999
1575165600000,148.30,148.99,146.11,146.66,17809.049,1575169199999
1575169200000,146.69,147.50,145.70,147.09,17007.041,1575172799999
1575172800000,147.05,148.06,146.61,148.05,14829.733,1575176399999
1575176400000,148.06,148.64,146.87,147.70,15461.197,1575179999999
1575180000000,147.71,147.98,146.96,147.12,14980.251,1575183599999
1575183600000,147.20,147.75,146.39,146.79,17188.057,1575187199999
1575187200000,146.77,147.46,146.17,146.66,16029.492,1575190799999
1575190800000,146.70,147.41,145.50,147.26,19999.886,1575194399999
1575194400000,147.30,148.25,146.74,147.91,17779.545,1575197999999
1575198000000,147.91,148.28,147.13,147.20,14695.123,1575201599999
1575201600000,147.21,148.50,147.21,148.20,12963.509,1575205199999
1575205200000,148.20,151.31,148.20,151.01,18228.250,1575208799999
1575208800000,151.02,152.50,150.52,150.61,18629.393,1575212399999
1575212400000,150.60,150.86,149,149.41,15785.776,1575215999999
