Open time,Open,High,Low,Close,Volume,Close time
1567962000000,10000,10000,10000,10000,0.002,1567965599999
1567965600000,10000,10000,10000,10000,0,1567969199999
1567969200000,10344.77,10357.53,10337.43,10340.12,471.659,1567972799999
1567972800000,10340.12,10368.64,10334.54,10351.42,583.271,1567976399999
1567976400000,10351.42,10391.90,10324.77,10391.90,689.759,1567979999999
1567980000000,10392.59,10412.65,10375.58,10375.58,675.394,1567983599999
1567983600000,10375.58,10392.25,10366.57,10391.63,676.206,1567987199999
1567987200000,10391.63,10391.63,10391.63,10391.63,0,1567990799999
1567990800000,10391.63,10391.63,10391.63,10391.63,0,1567994399999
1567994400000,10316.62,10316.65,10294.29,10296.04,96.462,1567997999999
1567998000000,10295.81,10316.68,10267.37,10297.89,682.987,1568001599999
1568001600000,10297.89,10316.33,10251.51,10316.30,680.278,1568005199999
1568005200000,10316.30,10316.34,10299.80,10304.32,671.524,1568008799999
1568008800000,10304.32,10305.51,10252.36,10256.09,680.520,1568012399999
1568012400000,10260.16,10273.71,10092.71,10149.47,632.467,1568015999999
1568016000000,10149.47,10170.74,10077.22,10147.84,1160.043,1568019599999
1568019600000,10147.84,10267.74,10143.68,10248.89,274.673,1568023199999
1568023200000,10249.57,10256.18,10196.76,10253.25,384.383,1568026799999
1568026800000,10247.69,10475.54,10222.75,10414.60,647.386,1568030399999
1568030400000,10411.70,10411.70,10349.89,10356.75,844.568,1568033999999
1568034000000,10356.61,10389.12,10317.61,10322.37,872.928,1568037599999
1568037600000,10327.06,10363.82,10302.69,10337.55,830.825,1568041199999
1568041200000,10333.86,10363.66,10308.84,10314.26,837.694,1568044799999
1568044800000,10314.26,10333.55,10183.31,10255.44,1126.982,1568048399999
1568048400000,10253.31,10296.30,10235.30,10263.33,913.252,1568051999999
1568052000000,10261.38,10288.82,10250.56,10255.58,918.219,1568055599999
1568055600000,10255.58,10323.13,10237.17,10308.87,956.876,1568059199999
1568059200000,10307.80,10420.65,10228.28,10233.85,726.047,1568062799999
1568062800000,10229.48,10343.79,10229.48,10289.48,516.808,1568066399999
1568066400000,10289.48,10358.69,10289.48,10358.69,296.634,1568069999999
1568070000000,10347.50,10382.64,10304.80,10307,72.817,1568073599999
1568073600000,10307,10373.14,10307,10338.61,197.310,1568077199999
1568077200000,10336.92,10382.97,10328.53,10328.53,322.633,1568080799999
1568080800000,10328.04,10356.14,10281.43,10281.43,546.280,1568084399999
1568084400000,10285.58,10320.45,10266.61,10307.25,481.232,1568087999999
1568088000000,10309.17,10329.24,10304.57,10305.21,513.665,1568091599999
1568091600000,10305.21,10306.67,10251.86,10262.85,312.001,1568095199999
1568095200000,10263.35,10271.65,10226.81,10265.96,449.925,1568098799999
1568098800000,10265.96,10304.82,10240.25,10272.46,430.492,1568102399999
1568102400000,10271.93,10286.15,10247.20,10256.08,374.454,1568105999999
1568106000000,10255.76,10290.01,10206.87,10248.67,356.750,1568109599999
1568109600000,10255.07,10280.90,10222.99,10240.32,358.313,1568113199999
1568113200000,10240.11,10259.52,10223.56,10254.56,319.484,1568116799999
1568116800000,10252.70,10270.58,10226.02,10254.63,320.088,1568120399999
1568120400000,10256.66,10258.78,10221.96,10241.79,308.964,1568123999999
1568124000000,10237.92,10239.21,10176.69,10208.34,579.259,1568127599999
1568127600000,10203.70,10222.71,10167.91,10179.10,321.499,1568131199999
1568131200000,10172.13,10237.41,10172.13,10225.40,306.303,1568134799999
1568134800000,10222.36,10232.64,10195.13,10213.69,333.288,1568138399999
1568138400000,10213.58,10218.72,10192.47,10198.27,305.427,1568141999999
1568142000000,10194.82,10202.43,9940.87,10026.56,468.928,1568145599999
1568145600000,10021.49,10080.64,9991.73,10062.53,336.757,1568149199999
1568149200000,10060.46,10127.22,10040.85,10108.06,423.519,1568152799999
1568152800000,10108.25,10124.68,10059.92,10089.70,338.205,1568156399999
1568156400000,10089.10,10124.47,10046.67,10102.02,364.179,1568159999999
1568160000000,10094.27,10293.11,10090.62,10142.52,390.557,1568163599999
1568163600000,10137.60,10158.12,10069.45,10069.75,333.196,1568167199999
1568167200000,10066.39,10099.47,10051,10073.20,308.733,1568170799999
1568170800000,10068.78,10116.43,10067.02,10093.88,345.495,1568174399999
1568174400000,10091.53,10097.65,10054.44,10056.42,325.921,1568177999999
1568178000000,10057.71,10074.15,9974.69,10028.63,407.191,1568181599999
1568181600000,10024.78,10050.56,9884.31,9995.45,371.519,1568185199999
1568185200000,9995.72,10078.84,9990.59,10067.46,311.873,1568188799999
1568188800000,10068.41,10074.32,10004.26,10005.18,268.074,1568192399999
1568192400000,10001.83,10034.77,9988.69,10016.05,246.581,1568195999999
1568196000000,10019.03,10118.71,10016.97,10095.66,271.859,1568199599999
1568199600000,10097.04,10138.01,10066.76,10070.53,245.150,1568203199999
1568203200000,10062.34,10099.23,10048.88,10092.05,269.216,1568206799999
1568206800000,10096,10101.38,10017.65,10036.64,305.302,1568210399999
1568210400000,10037.14,10063,9986.65,10030.18,608.970,1568213999999
1568214000000,10032.89,10032.89,9973.15,9991.84,642.698,1568217599999
1568217600000,9992.18,10110.21,9934.11,10044.87,643.320,1568221199999
1568221200000,10044.14,10077.34,10034.91,10054.43,645.218,1568224799999
1568224800000,10053.77,10123.29,10053.32,10068.20,608.631,1568228399999
1568228400000,10069.21,10103.43,10043.71,10077.60,726.360,1568231999999
1568232000000,10073.64,10125.56,10064.11,10102.87,696.837,1568235599999
1568235600000,10099.78,10184.66,10081.81,10161.51,621.690,1568239199999
1568239200000,10163.87,10176.27,10133.09,10146.21,627.182,1568242799999
1568242800000,10145.97,10166.61,10103.34,10159.55,676.349,1568246399999
1568246400000,10163.06,10205.46,10141.11,10155.22,685.695,1568249999999
1568250000000,10156.98,10173.34,10124.47,10124.55,675.721,1568253599999
1568253600000,10124.55,10133.95,10085.88,10111.76,653.073,1568257199999
1568257200000,10111.22,10139.50,10090.81,10113.43,689.836,1568260799999
1568260800000,10116.97,10129.19,10070.01,10078.37,594.707,1568264399999
1568264400000,10077.71,10103.09,10072.10,10079.86,634.959,1568267999999
1568268000000,10080.29,10083.62,10042.12,10066.37,629.742,1568271599999
1568271600000,10067.03,10088.61,10057.85,10078.96,643.190,1568275199999
1568275200000,10079.76,10151.44,10076.95,10147.32,642.568,1568278799999
1568278800000,10147.71,10171.93,10118.59,10121.65,620.958,1568282399999
1568282400000,10123.64,10177.88,10122.75,10153.96,643.952,1568285999999
1568286000000,10152.45,10187.90,10137.45,10170.93,624.034,1568289599999
1568289600000,10170,10239.21,10170,10239.21,611.128,1568293199999
1568293200000,10235.34,10360.13,10219.15,10343.84,636.117,1568296799999
1568296800000,10337.06,10357.05,10272.77,10305.07,642.298,1568300399999
1568300400000,10304.72,10365.15,10283.92,10326.58,639.457,1568303999999
1568304000000,10327.25,10349.91,10239.42,10269.94,725.104,1568307599999
1568307600000,10272.72,10295.80,10266.14,10295.80,620.301,1568311199999
1568311200000,10295.80,10346.06,10288.08,10296.24,704.886,1568314799999
1568314800000,10296.88,10323.67,10272.03,10308.80,673.878,1568318399999
1568318400000,10301.82,10360.75,10300.85,10320.73,608.006,1568321999999
1568322000000,10321.45,10400,10321.45,10388.87,655.809,1568325599999
1568325600000,10390.01,10450.13,10374.96,10385.45,701.318,1568329199999
1568329200000,10386.76,10415.13,10357.51,10415.13,652.897,1568332799999
1568332800000,10414.96,10440.55,10368.98,10387.34,636.735,1568336399999
1568336400000,10387.34,10387.50,10329.30,10335.68,606.585,1568339999999
1568340000000,10335.35,10386.64,10332.83,10365.43,611.470,1568343599999
1568343600000,10365.47,10369.57,10345.97,10364.64,628.902,1568347199999
1568347200000,10364.82,10399.81,10324.68,10336.83,884.485,1568350799999
1568350800000,10328.75,10343.52,10272.77,10291.89,929.271,1568354399999
1568354400000,10290.67,10319.80,10274.97,10295.54,884.908,1568357999999
1568358000000,10295.54,10296.46,10267.89,10284.03,890.921,1568361599999
1568361600000,10283.68,10327.14,10255.25,10278.48,673.310,1568365199999
1568365200000,10277,10320.84,10262.51,10306.43,835.981,1568368799999
1568368800000,10306.94,10323.51,10272.02,10272.91,995.365,1568372399999
1568372400000,10272.91,10307.47,10251.99,10306.52,839.326,1568375999999
1568376000000,10306.52,10344,10292.58,10323.98,1026.479,1568379599999
1568379600000,10324.82,10336.11,10286.27,10307.01,789.275,1568383199999
1568383200000,10306.78,10306.78,10270,10286.20,861.441,1568386799999
1568386800000,10286.20,10326.46,10281.34,10296.57,879.295,1568390399999
1568390400000,10294.81,10309.92,10279.35,10296.30,784.579,1568393999999
1568394000000,10300.05,10310.08,10190,10226.61,786.790,1568397599999
1568397600000,10224.60,10243.17,10186.34,10220.93,803.790,1568401199999
1568401200000,10222.58,10224.70,10186.65,10210.25,903.237,1568404799999
1568404800000,10210.25,10256.81,10153.51,10253.79,734.398,1568408399999
1568408400000,10254.01,10299.66,10231.31,10287.11,681.268,1568411999999
1568412000000,10287.11,10288.11,10250,10277.15,679.799,1568415599999
1568415600000,10280.45,10355.85,10258.70,10341.34,905.111,1568419199999
1568419200000,10343.01,10353.72,10296.10,10309.03,824.041,1568422799999
1568422800000,10308.11,10318.70,10290,10298.45,913.315,1568426399999
1568426400000,10299.73,10307.34,10267.08,10276.41,716.649,1568429999999
1568430000000,10276.41,10297.58,10268.21,10280.77,843.898,1568433599999
1568433600000,10280.58,10287.02,10259.75,10278.74,778.784,1568437199999
1568437200000,10276.03,10305.29,10274.48,10287.31,608.970,1568440799999
1568440800000,10287.30,10296.38,10275.04,10283.68,739.636,1568444399999
1568444400000,10283.68,10330.61,10280.31,10316.67,845.892,1568447999999
1568448000000,10319.07,10348,10307.72,10313.11,923.669,1568451599999
1568451600000,10311.91,10336.87,10288.78,10305.47,955.943,1568455199999
1568455200000,10305.79,10321.53,10287.53,10306.88,704.529,1568458799999
1568458800000,10307.91,10312.97,10289.05,10291.93,753.144,1568462399999
1568462400000,10292.13,10300.05,10222.77,10272.68,895.744,1568465999999
1568466000000,10268.69,10349,10267.70,10321,1057.060,1568469599999
1568469600000,10321,10357.83,10311.82,10348.72,1221.330,1568473199999
1568473200000,10346.15,10396.40,10315,10358,964.834,1568476799999
1568476800000,10355.61,10358.08,10325.41,10349.79,876.657,1568480399999
1568480400000,10351.84,10398,10351.84,10380.36,985.808,1568483999999
1568484000000,10380.76,10389.14,10338.66,10382.01,852.747,1568487599999
